Date,priceOpen,priceHigh,priceLow,priceClose,volume
1/1/22/,0.999867608,1.000886873,0.998460638,1.000422243,307504088
2/1/22/,1.000423115,1.001168174,0.998063527,0.999748513,421211915.8
3/1/22/,0.999755094,1.000730794,0.9983223,0.999099435,449020348.9
4/1/22/,0.999138683,1.001020653,0.998083866,0.999930384,625153638.7
5/1/22/,0.999902817,1.001193914,0.998404266,0.999460962,558399863.3
6/1/22/,0.99938452,1.000945789,0.997169584,0.999557636,640830172.9
7/1/22/,0.999542179,1.001380145,0.99868973,0.999674888,526473837.8
8/1/22/,0.999741543,1.001455594,0.9988545,0.999713984,329184017.6
9/1/22/,0.999741312,1.001478742,0.998273634,1.000315535,691978522.2
10/1/22/,1.000198367,1.002713094,0.998757709,1.000296857,469385652.7
11/1/22/,1.000318765,1.001904708,0.999259888,1.001124247,410906023.8
12/1/22/,1.001121903,1.001590806,0.997752734,0.998932306,468175817.1
13/1/22/,0.998986763,1.001069589,0.998387106,1.000069932,361537639.7
14/1/22/,1.000054974,1.000884567,0.998590177,0.999393169,339498190.8
15/1/22/,0.999402077,1.000853618,0.998186277,1.000282901,384353707.1
16/1/22/,1.000261028,1.001073559,0.998565681,0.999888399,640642937.4
17/1/22/,0.999886235,1.000890176,0.998677328,0.999744392,512219720.1
18/1/22/,0.999742877,1.001316452,0.998517367,0.999597629,451758675.6
19/1/22/,0.999633485,1.001606992,0.998682682,0.999678412,463356216.6
20/1/22/,0.999691441,1.001666934,0.997388842,1.000291483,925128859.6
21/1/22/,1.000286169,1.00176052,0.998503174,0.999951492,984517239
22/1/22/,0.999926977,1.001826693,0.998672823,1.000553031,404965758.6
23/1/22/,1.000528608,1.001975197,0.998461879,1.000684568,685793214.3
24/1/22/,1.000634061,1.001450549,0.999204499,1.000374925,446117860.1
25/1/22/,1.000378487,1.00101638,0.998802808,1.000789264,639636624.2
26/1/22/,1.000697706,1.000914056,0.998496703,1.000388938,670508135.2
27/1/22/,1.000364224,1.000899851,0.998684406,1.000285533,515009030.2
