Date,priceOpen,priceHigh,priceLow,priceClose,volume
1/1/22/,1836.48574,1840.060288,1833.591165,1835.926665,4534376.06
2/1/22/,1835.920512,1837.956159,1803.328455,1809.311105,6698790.57
3/1/22/,1809.272635,1820.27435,1805.550004,1816.170646,6232870.48
4/1/22/,1816.330156,1832.911264,1812.086307,1817.994127,15225873.9
5/1/22/,1817.965738,1822.68297,1791.969718,1798.18931,29017553.48
6/1/22/,1798.090614,1805.254326,1789.79553,1804.817354,12828580.01
7/1/22/,1804.890395,1805.067708,1797.663132,1799.217193,8921723.14
8/1/22/,1799.220307,1803.317803,1796.387213,1798.555023,7482594.39
9/1/22/,1798.505924,1807.950678,1793.02864,1806.085151,12964951.2
10/1/22/,1805.972924,1827.036842,1805.068087,1823.639878,8684011.59
11/1/22/,1823.465041,1836.288505,1820.953315,1833.20213,10717346.79
12/1/22/,1833.371692,1835.192534,1821.696639,1825.422547,7005095.18
13/1/22/,1825.269806,1835.361431,1823.009666,1827.743703,5589836
14/1/22/,1827.806999,1829.964475,1824.056525,1824.599183,4843609.55
15/1/22/,1824.581209,1827.846233,1823.55225,1825.530222,3324497.61
16/1/22/,1825.71284,1828.143145,1820.88677,1824.005577,7116532.57
17/1/22/,1824.014719,1827.094144,1812.165572,1820.078207,7205951.7
18/1/22/,1820.102098,1851.16603,1816.484025,1846.565384,11620229.04
19/1/22/,1846.582706,1855.913825,1842.921882,1843.808077,6027808.55
20/1/22/,1844.169406,1851.468524,1836.789005,1841.040557,24352605.22
21/1/22/,1841.40459,1850.99449,1836.847636,1841.426497,24852899.01
22/1/22/,1841.987257,1846.355343,1837.064223,1843.734048,14055238.11
23/1/22/,1843.036177,1851.802375,1837.310082,1848.915548,22332390.03
24/1/22/,1848.810261,1862.756608,1844.44835,1860.280349,16340836.76
25/1/22/,1860.212964,1860.212964,1829.050712,1838.990573,27652089.99
26/1/22/,1838.86229,1841.236801,1803.709247,1811.380045,17367225.32
27/1/22/,1811.507967,1812.438448,1791.783279,1798.825658,13447143.35
28/1/22/,1798.775309,1802.283292,1795.738946,1800.191792,8517379.04
29/1/22/,1799.995299,1802.821487,1795.009721,1799.668683,6298205.08
30/1/22/,1799.744683,1808.224367,1794.687532,1806.449527,8742622.08
31/1/22/,1806.369508,1812.950051,1802.08555,1808.416728,8168918.79
1/2/22/,1808.389508,1815.84221,1802.859753,1813.202011,9951439.38
2/2/22/,1813.160465,1814.631689,1799.464938,1813.848466,8799012.93
3/2/22/,1813.216822,1820.263513,1803.727768,1818.555426,12780883.23
4/2/22/,1817.60385,1819.792741,1813.10394,1818.000502,8710228.38
5/2/22/,1817.982081,1819.632825,1813.589138,1817.729009,8482954.62
6/2/22/,1817.906196,1830.438489,1815.496178,1824.659714,11071971.7
7/2/22/,1825.117726,1836.199104,1820.327394,1830.749047,10667747.61
8/2/22/,1830.41885,1843.458709,1830.311531,1839.468493,8819868.78
9/2/22/,1838.94135,1847.495545,1832.668711,1834.20814,17542396.62
10/2/22/,1834.179871,1871.017089,1828.622127,1870.147426,29478443.43
11/2/22/,1870.373322,1878.744912,1864.832028,1874.189997,41456921.62
12/2/22/,1873.938983,1893.673782,1869.408014,1883.418358,23495884.84
13/2/22/,1882.713515,1893.604576,1864.211543,1882.347395,42116074.61
14/2/22/,1882.904191,1895.040981,1850.593829,1858.877961,40247873
15/2/22/,1859.231805,1884.601832,1853.270919,1877.211891,21732749.68
16/2/22/,1876.261725,1920.573757,1874.599253,1916.026036,44660826.65
17/2/22/,1916.695582,1921.972628,1902.280431,1914.976616,46236921.75
18/2/22/,1914.907242,1920.238049,1911.572791,1915.845449,26167185.75
19/2/22/,1915.704824,1946.236151,1913.221652,1935.629422,53726597.84
20/2/22/,1935.324879,1975.529547,1912.537022,1952.762138,61614660.7
21/2/22/,1952.992544,1964.383059,1909.236727,1909.236727,70283917.91
22/2/22/,1909.209444,1927.088364,1899.947863,1921.450036,38328703.06
23/2/22/,1921.163948,2067.691205,1911.980705,1934.810943,315521920.6
24/2/22/,1934.643463,1943.730719,1893.859537,1897.698406,72179605.2
25/2/22/,1896.143752,1904.233964,1888.021442,1889.610675,32791330.14
26/2/22/,1890.112081,1925.958874,1886.580734,1914.87913,67927636.04
27/2/22/,1915.227924,1924.33532,1884.131215,1896.833392,83374171.44
28/2/22/,1896.427862,1938.338771,1891.588473,1933.066559,72606683.02
1/3/22/,1933.111796,1937.678865,1910.850441,1923.68196,49449365.04
2/3/22/,1924.611485,1937.112097,1919.973058,1934.783262,43458748.87
3/3/22/,1935.549847,1973.461793,1933.401035,1970.306739,63765941.96
4/3/22/,1970.722461,1978.577401,1967.242805,1973.535734,41284545.94
5/3/22/,1973.629475,1993.025498,1971.029968,1993.025498,45122881.19
6/3/22/,1993.054395,2015.002373,1975.074157,2005.298109,142200272.4
7/3/22/,2005.466159,2071.925585,1992.430721,2055.900592,153369335.4
8/3/22/,2056.382893,2060.334344,1984.565328,1993.776914,121785235.4
9/3/22/,1994.287621,2013.411696,1978.644649,2001.534741,109001157
10/3/22/,2001.590134,2003.226987,1965.467683,1987.044107,77278558.2
11/3/22/,1987.006884,1992.604646,1984.723002,1992.044616,26206887.14
12/3/22/,1992.254643,1999.42241,1985.051706,1986.011024,41738105.69
13/3/22/,1985.919,1987.886126,1957.545519,1960.924648,46145762.38
14/3/22/,1960.864269,1960.864269,1916.377903,1926.214833,56174348.49
15/3/22/,1926.14565,1936.95026,1909.688022,1935.589049,53131351.9
16/3/22/,1935.644597,1955.284329,1934.899796,1949.947774,35716592.27
17/3/22/,1949.768943,1950.91967,1923.200066,1923.830883,43969484.1
18/3/22/,1923.658933,1928.33897,1916.446862,1918.906504,23097411.74
19/3/22/,1918.941594,1926.703957,1915.870742,1922.821405,26567188.65
20/3/22/,1922.941709,1941.202765,1922.929827,1937.536219,35987189.69
21/3/22/,1937.044259,1939.648885,1915.197364,1919.909273,30995385.93
22/3/22/,1919.963135,1948.11061,1918.412569,1947.290685,30664424.31
23/3/22/,1947.154995,1963.019379,1938.913002,1955.869203,47128927.47
24/3/22/,1955.569359,1960.793638,1946.468286,1957.964966,25742353.11
25/3/22/,1958.102283,1964.426686,1957.581745,1964.426686,10849971.21
26/3/22/,1964.538019,1966.139582,1951.190884,1953.050252,18872214.81
27/3/22/,1953.238758,1954.940387,1921.865358,1925.259141,37089112.54
28/3/22/,1924.683333,1930.793979,1894.206694,1919.106464,32492597.71
29/3/22/,1919.017499,1936.77346,1916.137376,1930.069944,16846676.64
30/3/22/,1930.33123,1946.702482,1920.846937,1934.363636,20926953.45
31/3/22/,1934.548448,1939.945961,1918.404884,1923.264294,20050245.57
1/4/22/,1923.491721,1924.564114,1920.022162,1921.917833,12425683.05
2/4/22/,1921.903213,1927.469818,1919.971093,1923.289324,13612273.72
3/4/22/,1923.068309,1934.214813,1919.423058,1931.587072,17008058.38
4/4/22/,1931.683037,1937.760294,1919.377509,1920.643475,15178753.55
5/4/22/,1920.454572,1929.894294,1917.58523,1922.102511,28771586.65
6/4/22/,1922.045412,1935.646401,1921.690646,1930.364217,15227799.41
7/4/22/,1930.539084,1947.83824,1928.585818,1945.397393,16883883.82
8/4/22/,1945.722333,1952.729747,1945.568593,1949.114604,12493836.83
9/4/22/,1949.130271,1952.630943,1942.443943,1943.121282,10581501.98
10/4/22/,1943.329622,1967.133028,1941.196412,1953.721045,38851822.72
11/4/22/,1954.281382,1976.465686,1951.130835,1968.841402,37504299.75
12/4/22/,1968.486388,1981.909703,1965.313398,1981.063444,520817679.8
13/4/22/,1980.644687,1980.644687,1964.848655,1975.895717,127996916.5
14/4/22/,1975.849039,1981.219282,1974.731728,1981.219282,14416925.27
15/4/22/,1981.104114,1982.000142,1977.843226,1980.134876,12695923.29
16/4/22/,1979.878529,1986.551088,1978.209916,1986.313429,13243911.52
17/4/22/,1987.137806,2000.237528,1979.793056,1979.894459,40813903.92
18/4/22/,1979.965693,1983.514939,1953.260992,1955.123715,28814501.5
19/4/22/,1955.032169,1964.686809,1947.449667,1962.88976,24320875.31
20/4/22/,1962.803235,1963.04605,1942.4787,1959.189481,29024983.8
21/4/22/,1959.194857,1959.683497,1935.133037,1937.474884,25311212.72
22/4/22/,1937.502174,1939.372648,1933.827143,1934.81968,14889422.58
23/4/22/,1934.553988,1938.370637,1933.70472,1935.546081,13024248.51
24/4/22/,1935.548715,1935.61817,1901.444825,1907.797681,41737904.01
25/4/22/,1907.30585,1915.03792,1900.588548,1908.03921,26343621.34
26/4/22/,1908.108117,1909.09321,1890.995393,1894.254783,22388187.13
27/4/22/,1894.252213,1901.682745,1882.888909,1900.84401,21182382.77
28/4/22/,1900.832586,1923.293559,1898.776122,1904.972751,24916402.19
29/4/22/,1904.932971,1908.354232,1900.516348,1901.595974,15359589.86
30/4/22/,1901.277001,1907.561773,1899.284571,1904.331441,17176270.83
1/5/22/,1904.191918,1905.470553,1861.635882,1869.732769,28588751.96
2/5/22/,1869.566303,1877.573562,1858.702936,1871.646233,25412155.73
3/5/22/,1871.550641,1889.063264,1864.555395,1889.063264,22291876.08
4/5/22/,1888.789239,1905.281091,1873.981502,1878.257173,26541594.51
5/5/22/,1878.173392,1890.394062,1871.294401,1885.417484,24742024.48
6/5/22/,1885.463038,1889.094133,1881.740697,1887.622917,15390733.04
7/5/22/,1887.622622,1889.242805,1882.941937,1884.979181,22772247.05
8/5/22/,1884.865888,1884.875502,1849.287802,1851.63517,42039956.97
9/5/22/,1851.827046,1864.772778,1835.355819,1836.517131,38171345.93
10/5/22/,1836.635621,1859.975754,1832.403228,1858.143714,63399505.68
11/5/22/,1856.501968,1905.743877,1826.841149,1836.147473,132157244.1
12/5/22/,1836.240027,1841.274731,1804.802467,1809.033423,45586625.55
13/5/22/,1809.131485,1814.844195,1805.681651,1811.555591,19298935.63
14/5/22/,1811.675889,1814.158722,1807.533374,1811.131238,17881022.64
15/5/22/,1811.163484,1827.928549,1794.360649,1825.412264,27983471.53
16/5/22/,1826.225829,1838.7466,1819.193657,1819.471045,26290099.31
17/5/22/,1819.613551,1829.980432,1812.971225,1816.976695,23217152.13
18/5/22/,1816.595857,1853.906083,1816.595857,1852.999796,36375662.9
19/5/22/,1852.904576,1855.223444,1840.249122,1852.856118,25578600.41
20/5/22/,1852.902935,1856.345402,1850.829728,1853.769213,15293521.41
21/5/22/,1853.715308,1856.575673,1848.616857,1852.485202,17685376.9
22/5/22/,1852.291683,1869.100555,1851.755306,1854.969488,22504294.54
23/5/22/,1854.753994,1875.572263,1854.499794,1870.304668,20702864.25
24/5/22/,1870.352855,1870.932093,1848.427609,1857.500012,19915928.62
25/5/22/,1857.144505,1862.026543,1843.778029,1850.58574,26296128.1
26/5/22/,1850.426881,1864.564172,1847.69564,1854.062025,26087987.58
27/5/22/,1859.122014,1860.564664,1853.56976,1855.692781,15000448.36
28/5/22/,1855.765642,1859.935203,1851.551869,1851.878584,12722515.59
29/5/22/,1851.9131,1863.926976,1849.554655,1857.577061,22439107.51
30/5/22/,1857.236484,1858.416899,1837.264556,1838.105941,20786170.14
31/5/22/,1838.195542,1851.607191,1832.169754,1850.573128,22964219.59
1/6/22/,1850.226934,1872.402796,1847.157489,1871.145818,19291973.19
2/6/22/,1871.151053,1875.941157,1852.284301,1855.750682,17803655.46
3/6/22/,1855.86286,1862.290499,1852.151605,1860.404433,14734647.72
4/6/22/,1860.496573,1864.830047,1855.853066,1857.88758,15180659.81
5/6/22/,1857.778225,1861.284184,1844.898405,1845.455738,21951981.2
6/6/22/,1845.221227,1857.850965,1840.044106,1855.936416,23788812.27
7/6/22/,1855.958361,1860.530468,1846.272718,1855.543315,22113824.99
8/6/22/,1855.33639,1857.647716,1843.241193,1847.127775,19930034.1
9/6/22/,1847.399656,1875.639217,1831.867745,1873.052231,30228587.01
10/6/22/,1873.082772,1883.626816,1871.102122,1880.163748,32613292.81
11/6/22/,1880.625826,1891.31627,1877.918214,1882.606135,37728853.01
12/6/22/,1882.641864,1885.278159,1825.695729,1826.766964,108629717.4
13/6/22/,1827.131805,1835.447868,1806.611347,1815.409225,70203456.44
14/6/22/,1815.446328,1845.303913,1812.163735,1838.34964,94792017.09
15/6/22/,1838.326488,1868.266226,1824.673872,1858.127066,36496779.25
16/6/22/,1858.356543,1859.245933,1839.465904,1842.154715,36963370.87
17/6/22/,1842.048869,1848.952321,1821.086775,1826.274887,51830095.99
18/6/22/,1825.401551,1843.01906,1818.858604,1842.92438,36503684.75
19/6/22/,1842.551389,1850.920783,1838.807531,1846.91282,29267901.06
20/6/22/,1846.895437,1848.656537,1833.936876,1835.442101,22035945.17
21/6/22/,1835.616126,1845.161056,1827.301224,1841.505017,21631024.73
22/6/22/,1841.73184,1844.088251,1826.293458,1828.680083,20878086.23
23/6/22/,1829.006809,1834.074976,1823.983983,1824.953871,21693322.75
24/6/22/,1825.061771,1828.128483,1821.734082,1824.493013,13635979.17
25/6/22/,1824.264412,1831.552581,1820.877521,1830.399673,19289949.47
26/6/22/,1830.520403,1840.385573,1823.892509,1828.347539,21744230.25
27/6/22/,1828.292457,1833.242394,1822.736993,1822.885833,44240909.36
28/6/22/,1823.27535,1836.376102,1819.751569,1823.153379,19615002.22
29/6/22/,1823.443411,1827.014984,1810.49669,1814.808211,23805763.33
30/6/22/,1814.84429,1815.498868,1795.274143,1807.823594,31234854.59
1/7/22/,1807.942471,1815.185128,1806.558552,1812.982079,11363639.12
2/7/22/,1812.863735,1815.347434,1806.020065,1812.249932,13501735.95
3/7/22/,1812.2075,1815.93942,1808.997415,1813.073126,17046530.41
4/7/22/,1813.01123,1816.299076,1768.279519,1770.947249,28308863.97
5/7/22/,1771.152816,1775.596785,1737.618183,1743.622723,23166512.39
6/7/22/,1743.544675,1751.009034,1740.745276,1744.089458,19269776.82
7/7/22/,1743.663955,1752.933148,1737.872814,1744.218848,24155304.99
8/7/22/,1743.826109,1745.944882,1738.363548,1739.738625,10460213.9
9/7/22/,1739.687101,1745.224803,1737.028281,1743.069343,9953794.19
10/7/22/,1743.341515,1743.934674,1731.954286,1733.929903,15465737.18
11/7/22/,1734.288066,1742.817702,1725.467603,1726.215844,26747310.93
12/7/22/,1726.471082,1746.699947,1711.520106,1736.992547,29398868.32
13/7/22/,1736.936531,1737.12375,1703.627168,1714.470509,17736211.95
14/7/22/,1714.577813,1717.806346,1701.576469,1705.360763,15737686.8
15/7/22/,1705.31872,1705.941187,1694.667551,1699.88031,20821451.36
16/7/22/,1700.065637,1706.417417,1690.763421,1705.802091,17961173.28
17/7/22/,1705.733476,1721.290888,1704.047489,1707.932256,18213866.01
18/7/22/,1706.845254,1716.694009,1702.112971,1706.469421,23448563.92
19/7/22/,1706.405681,1712.923022,1691.632084,1697.112726,20831587.56
20/7/22/,1697.132418,1718.66194,1682.066496,1716.708068,23394043.28
21/7/22/,1716.680246,1732.245265,1711.61973,1728.111809,28448583.79
22/7/22/,1727.745579,1731.520877,1724.366544,1726.191364,13713056.98
23/7/22/,1726.197763,1729.610134,1723.652053,1724.220477,24774402.91
24/7/22/,1724.162668,1731.798285,1716.598701,1717.254907,28949410.25
25/7/22/,1717.043194,1728.979528,1712.93612,1719.162792,23647241.34
26/7/22/,1719.339194,1736.95774,1714.59355,1736.021054,22311650.39
27/7/22/,1736.197077,1757.625666,1732.124332,1749.390487,32313625.84
28/7/22/,1749.424171,1766.949427,1747.397191,1764.184965,23720212.51
29/7/22/,1764.070304,1767.080027,1761.18316,1764.896003,13251199.9
30/7/22/,1765.026227,1767.476395,1762.409693,1762.634089,17761622.03
31/7/22/,1762.659395,1772.390645,1758.880602,1771.24191,19129046.58
1/8/22/,1770.681036,1784.867064,1752.526496,1752.777484,29557859.46
2/8/22/,1752.689992,1768.024688,1750.204387,1759.644905,26666721.67
3/8/22/,1759.860641,1790.716371,1758.873512,1789.282046,17604185.76
4/8/22/,1788.966786,1790.474981,1764.873063,1774.18886,16321135.85
5/8/22/,1774.031461,1774.296107,1766.630537,1768.031896,7881193.22
6/8/22/,1768.386468,1771.250131,1766.671219,1768.762601,8320047.32
7/8/22/,1768.864508,1787.638168,1767.661947,1781.543088,23012019.9
8/8/22/,1781.408816,1796.836697,1777.460931,1790.55401,16251478.8
9/8/22/,1790.577484,1797.241665,1783.997667,1786.353172,17009669.12
10/8/22/,1786.570328,1792.400773,1778.887875,1780.435216,15883038.83
11/8/22/,1780.406638,1795.796766,1778.367292,1795.796766,12153797.41
12/8/22/,1795.979428,1797.238302,1791.32754,1793.904123,8375120.21
13/8/22/,1793.769028,1798.502421,1791.557745,1793.109655,13528428.84
14/8/22/,1793.150375,1795.205825,1769.588565,1775.959106,16543374.52
15/8/22/,1774.879015,1776.812875,1767.971408,1771.848195,14526322.21
16/8/22/,1771.907277,1776.730193,1754.604928,1756.920202,17225474.88
17/8/22/,1757.156348,1764.900723,1750.296842,1750.938206,10805012.74
18/8/22/,1750.784343,1751.669803,1737.941743,1740.492914,28343533.47
19/8/22/,1740.244016,1743.271156,1737.085012,1739.674192,11706127.9
20/8/22/,1739.564451,1743.396843,1736.772868,1739.811926,13004823.63
21/8/22/,1739.857105,1741.481022,1725.050428,1732.180781,15714639.89
22/8/22/,1731.893384,1747.825068,1728.98511,1745.683342,24423216.78
23/8/22/,1745.494348,1749.554882,1739.76335,1745.525411,12243866.66
24/8/22/,1745.434736,1758.656269,1744.419245,1751.880699,9536577.31
25/8/22/,1751.983675,1752.076812,1728.108057,1731.153192,20155345.44
26/8/22/,1731.265934,1732.540894,1726.676145,1729.585306,11394161.45
27/8/22/,1729.49392,1731.482947,1724.568021,1725.064216,14627787.9
28/8/22/,1725.099559,1737.210913,1711.954434,1730.677461,14900289.1
29/8/22/,1730.385132,1731.739101,1713.931255,1715.31312,13297615.59
30/8/22/,1715.427719,1720.756014,1702.828922,1704.783108,13245424.49
31/8/22/,1704.902667,1705.716163,1685.913292,1691.65094,17056193.81
1/9/22/,1691.561786,1709.183624,1690.019282,1704.18447,13103664.09
2/9/22/,1704.158111,1706.879915,1702.037704,1706.806045,5232679.57
3/9/22/,1706.700986,1707.180715,1702.823079,1706.487385,5318647.03
4/9/22/,1706.35328,1708.951315,1701.202353,1707.600685,9614853.62
5/9/22/,1707.72706,1717.946838,1688.236627,1693.656139,17807025.69
6/9/22/,1693.570066,1713.785456,1684.621328,1709.451095,16808232.11
7/9/22/,1709.074244,1718.773236,1699.599768,1703.200356,12000285.56
8/9/22/,1702.954602,1724.059015,1702.954602,1710.691477,13651581.24
9/9/22/,1711.605454,1715.455299,1709.591941,1713.636791,9361187.4
10/9/22/,1713.338776,1716.173993,1710.177974,1716.140659,7557016.6
11/9/22/,1716.185088,1729.527454,1708.060232,1718.550789,19535044.82
12/9/22/,1718.572332,1725.405359,1693.626819,1694.663208,21878078.17
13/9/22/,1696.026489,1698.947462,1689.097856,1689.63356,11058108.38
14/9/22/,1689.592198,1691.231178,1654.280183,1654.909861,32322497.35
15/9/22/,1654.477007,1670.047641,1647.416235,1666.780707,14596479.51
16/9/22/,1667.050681,1669.752996,1664.350735,1668.081818,7794018.11
17/9/22/,1668.089206,1670.544208,1664.275379,1668.536878,8290379.4
18/9/22/,1669.160296,1669.972297,1652.79254,1665.839224,17216161.82
19/9/22/,1665.856429,1669.525013,1654.645439,1657.122756,13057231.02
20/9/22/,1656.920844,1677.10004,1651.083063,1662.517898,24630857.95
21/9/22/,1662.422093,1674.322106,1652.113116,1665.660321,13597636.33
22/9/22/,1665.779611,1667.190547,1635.617706,1637.9203,16202194.92
23/9/22/,1637.852302,1639.459405,1635.62576,1637.621571,6532007.9
24/9/22/,1636.792215,1638.78834,1632.460779,1634.865809,7522733.03
25/9/22/,1635.139198,1640.220495,1611.479535,1619.209135,21041341.53
26/9/22/,1618.784817,1632.695005,1618.784817,1621.632857,15560797.09
27/9/22/,1621.696758,1653.491645,1609.229903,1648.627922,20126849.85
28/9/22/,1648.679608,1656.153758,1636.092521,1656.146764,11613947.1
29/9/22/,1656.105684,1668.246533,1653.501652,1655.731731,10286011.94
30/9/22/,1655.961441,1657.681099,1653.09145,1654.730641,4173773.36
