Date;Closing price;;;;;;;;;;;
1.11.21;1794.09;;;;;;;;;;;
2.11.21;1781.39;;;;;;;;;;;
3.11.21;1774.89;;;;;;;;;;;
4.11.21;1795.22;;;;;;;;;;;
5.11.21;1817.81;;;;;;;;;;;
6.11.21;1817.81;;;;;;;;;;;
7.11.21;1820.71;;;;;;;;;;;
8.11.21;1825.23;;;;;;;;;;;
9.11.21;1825.76;;;;;;;;;;;
10.11.21;1855.08;;;;;;;;;;;
11.11.21;1858.50;;;;;;;;;;;
12.11.21;1864.52;;;;;;;;;;;
13.11.21;1864.52;;;;;;;;;;;
14.11.21;1859.15;;;;;;;;;;;
15.11.21;1866.67;;;;;;;;;;;
16.11.21;1852.96;;;;;;;;;;;
17.11.21;1866.67;;;;;;;;;;;
18.11.21;1860.98;;;;;;;;;;;
19.11.21;1846.02;;;;;;;;;;;
20.11.21;1846.02;;;;;;;;;;;
21.11.21;1846.02;;;;;;;;;;;
22.11.21;1808.29;;;;;;;;;;;
23.11.21;1795.76;;;;;;;;;;;
24.11.21;1792.81;;;;;;;;;;;
25.11.21;1797.88;;;;;;;;;;;
26.11.21;1792.60;;;;;;;;;;;
27.11.21;1792.60;;;;;;;;;;;
28.11.21;1795.50;;;;;;;;;;;
29.11.21;1794.56;;;;;;;;;;;
30.11.21;1782.88;;;;;;;;;;;
1.12.21;1777.30;;;;;;;;;;;
2.12.21;1775.68;;;;;;;;;;;
3.12.21;1783.45;;;;;;;;;;;
4.12.21;1783.45;;;;;;;;;;;
5.12.21;1783.67;;;;;;;;;;;
6.12.21;1781.37;;;;;;;;;;;
7.12.21;1784.29;;;;;;;;;;;
8.12.21;1786.11;;;;;;;;;;;
9.12.21;1777.81;;;;;;;;;;;
10.12.21;1783.14;;;;;;;;;;;
11.12.21;1783.14;;;;;;;;;;;
12.12.21;1785.15;;;;;;;;;;;
13.12.21;1787.10;;;;;;;;;;;
14.12.21;1770.25;;;;;;;;;;;
15.12.21;1783.63;;;;;;;;;;;
16.12.21;1805.04;;;;;;;;;;;
17.12.21;1798.18;;;;;;;;;;;
18.12.21;1798.18;;;;;;;;;;;
19.12.21;1802.71;;;;;;;;;;;
20.12.21;1792.58;;;;;;;;;;;
21.12.21;1787.45;;;;;;;;;;;
22.12.21;1806.47;;;;;;;;;;;
23.12.21;1810.61;;;;;;;;;;;
24.12.21;1808.39;;;;;;;;;;;
25.12.21;1808.39;;;;;;;;;;;
26.12.21;1809.55;;;;;;;;;;;
27.12.21;1812.85;;;;;;;;;;;
28.12.21;1806.61;;;;;;;;;;;
29.12.21;1798.77;;;;;;;;;;;
30.12.21;1818.41;;;;;;;;;;;
31.12.21;1829.05;;;;;;;;;;;
1.1.22;1829.05;;;;;;;;;;;
2.1.22;1825.62;;;;;;;;;;;
3.1.22;1805.47;;;;;;;;;;;
4.1.22;1815.61;;;;;;;;;;;
5.1.22;1803.63;;;;;;;;;;;
6.1.22;1790.94;;;;;;;;;;;
7.1.22;1796.41;;;;;;;;;;;
8.1.22;1796.41;;;;;;;;;;;
9.1.22;1793.40;;;;;;;;;;;
10.1.22;1808.48;;;;;;;;;;;
11.1.22;1820.92;;;;;;;;;;;
12.1.22;1827.19;;;;;;;;;;;
13.1.22;1827.95;;;;;;;;;;;
14.1.22;1817.43;;;;;;;;;;;
15.1.22;1817.43;;;;;;;;;;;
16.1.22;1820.17;;;;;;;;;;;
17.1.22;1816.13;;;;;;;;;;;
18.1.22;1813.20;;;;;;;;;;;
19.1.22;1839.44;;;;;;;;;;;
20.1.22;1841.21;;;;;;;;;;;
21.1.22;1834.58;;;;;;;;;;;
22.1.22;1834.58;;;;;;;;;;;
23.1.22;1838.88;;;;;;;;;;;
24.1.22;1841.74;;;;;;;;;;;
25.1.22;1847.97;;;;;;;;;;;
26.1.22;1813.14;;;;;;;;;;;
27.1.22;1797.81;;;;;;;;;;;
28.1.22;1792.10;;;;;;;;;;;
29.1.22;1792.10;;;;;;;;;;;
30.1.22;1788.95;;;;;;;;;;;
31.1.22;1803.18;;;;;;;;;;;
1.2.22;1799.25;;;;;;;;;;;
2.2.22;1806.04;;;;;;;;;;;
3.2.22;1806.70;;;;;;;;;;;
4.2.22;1807.95;;;;;;;;;;;
5.2.22;1807.95;;;;;;;;;;;
6.2.22;1810.61;;;;;;;;;;;
7.2.22;1820.73;;;;;;;;;;;
8.2.22;1828.46;;;;;;;;;;;
9.2.22;1834.61;;;;;;;;;;;
10.2.22;1823.95;;;;;;;;;;;
11.2.22;1858.68;;;;;;;;;;;
12.2.22;1858.68;;;;;;;;;;;
13.2.22;1854.60;;;;;;;;;;;
14.2.22;1878.24;;;;;;;;;;;
15.2.22;1854.36;;;;;;;;;;;
16.2.22;1874.02;;;;;;;;;;;
17.2.22;1892.46;;;;;;;;;;;
18.2.22;1897.36;;;;;;;;;;;
19.2.22;1897.36;;;;;;;;;;;
20.2.22;1892.04;;;;;;;;;;;
21.2.22;1909.16;;;;;;;;;;;
22.2.22;1896.30;;;;;;;;;;;
23.2.22;1940.87;;;;;;;;;;;
24.2.22;1916.23;;;;;;;;;;;
25.2.22;1889.18;;;;;;;;;;;
26.2.22;1889.18;;;;;;;;;;;
27.2.22;1911.07;;;;;;;;;;;
28.2.22;1905.98;;;;;;;;;;;
1.3.22;1937.05;;;;;;;;;;;
2.3.22;1925.04;;;;;;;;;;;
3.3.22;1939.48;;;;;;;;;;;
4.3.22;1970.67;;;;;;;;;;;
5.3.22;1970.67;;;;;;;;;;;
6.3.22;1989.85;;;;;;;;;;;
7.3.22;1990.77;;;;;;;;;;;
8.3.22;2051.65;;;;;;;;;;;
9.3.22;1977.87;;;;;;;;;;;
10.3.22;1986.79;;;;;;;;;;;
11.3.22;1987.99;;;;;;;;;;;
12.3.22;1987.99;;;;;;;;;;;
13.3.22;1975.20;;;;;;;;;;;
14.3.22;1941.98;;;;;;;;;;;
15.3.22;1918.66;;;;;;;;;;;
16.3.22;1936.57;;;;;;;;;;;
17.3.22;1933.81;;;;;;;;;;;
18.3.22;1921.49;;;;;;;;;;;
19.3.22;1921.49;;;;;;;;;;;
20.3.22;1926.75;;;;;;;;;;;
21.3.22;1937.33;;;;;;;;;;;
22.3.22;1921.66;;;;;;;;;;;
23.3.22;1939.37;;;;;;;;;;;
24.3.22;1961.48;;;;;;;;;;;
25.3.22;1958.39;;;;;;;;;;;
26.3.22;1958.39;;;;;;;;;;;
27.3.22;1943.43;;;;;;;;;;;
28.3.22;1925.50;;;;;;;;;;;
29.3.22;1923.77;;;;;;;;;;;
30.3.22;1924.96;;;;;;;;;;;
31.3.22;1938.47;;;;;;;;;;;
1.4.22;1924.80;;;;;;;;;;;
2.4.22;1924.80;;;;;;;;;;;
3.4.22;1919.01;;;;;;;;;;;
4.4.22;1928.61;;;;;;;;;;;
5.4.22;1924.51;;;;;;;;;;;
6.4.22;1922.08;;;;;;;;;;;
7.4.22;1930.76;;;;;;;;;;;
8.4.22;1947.57;;;;;;;;;;;
9.4.22;1947.57;;;;;;;;;;;
10.4.22;1943.02;;;;;;;;;;;
11.4.22;1958.98;;;;;;;;;;;
12.4.22;1971.11;;;;;;;;;;;
13.4.22;1974.68;;;;;;;;;;;
