Date,priceOpen,priceHigh,priceLow,priceClose,volume
28/5/22/,4.967988666,6.457103633,4.845546283,5.855366877,150037483.2
29/5/22/,5.859350448,11.97272204,5.655777414,10.71411422,456670856.9
30/5/22/,10.71602465,11.01195341,7.999300569,8.880991077,1588677633
31/5/22/,8.876629451,8.916562632,6.030296294,6.564243136,946786250.2
1/6/22/,6.559117406,7.380523623,6.243843834,7.117215489,596602328.7
2/6/22/,7.118081083,7.118081083,6.229190028,6.49907263,327404601.7
3/6/22/,6.499095252,6.533857888,6.287520727,6.374770057,170089168.2
4/6/22/,6.377714762,6.379895009,4.609749,4.84558499,547429654.8
5/6/22/,4.862817887,5.502444541,4.803983302,4.924068983,339274644.9
6/6/22/,4.923494844,4.933791935,3.784086806,3.836932286,345666221
7/6/22/,3.835549613,3.864642731,1.963688587,2.178519732,509290840.4
8/6/22/,2.159680399,3.473269397,2.08179253,3.162080135,874151634.9
9/6/22/,3.146990011,3.271871012,2.784362129,2.858645464,338815636.7
10/6/22/,2.859992746,2.93888903,2.49419214,2.606484831,225193377.3
11/6/22/,2.608045177,3.41455312,2.494516294,2.656998697,346556942.6
12/6/22/,2.659327178,2.758935902,2.279540896,2.502429369,324120762.8
13/6/22/,2.504050825,2.781361608,2.338979437,2.533253264,245718760.8
14/6/22/,2.533211462,2.585654583,2.100754468,2.547717291,281499384.5
15/6/22/,2.544551543,2.662139473,2.214567336,2.246135813,189814719.1
16/6/22/,2.246271462,2.319641667,2.198461076,2.237400002,154526569.6
17/6/22/,2.236815105,2.258717035,1.661489563,1.861355235,230172920.6
18/6/22/,1.861474711,2.239724386,1.76693844,2.115944838,248847670.1
19/6/22/,2.115697972,2.115697972,1.906542891,2.040096547,180777457.7
20/6/22/,2.039729064,2.205669699,2.026696925,2.03064124,155422140.4
21/6/22/,2.031329873,2.031433017,1.897321211,1.91670937,98769241.04
22/6/22/,1.916447734,1.990891985,1.827728867,1.935572402,126173985.2
23/6/22/,1.93639172,2.031839332,1.862323278,1.983377745,135203728.4
24/6/22/,1.983308314,2.041135377,1.92620348,1.995160273,115547874.1
25/6/22/,1.994261819,2.058611432,1.919259415,2.012508076,160092257.2
26/6/22/,2.013319698,2.686603234,1.967989187,2.21987538,561924727.3
27/6/22/,2.220419498,2.570130035,2.103277306,2.441367455,315428925.6
28/6/22/,2.440234956,2.779366019,2.356354667,2.608671879,404108750.6
29/6/22/,2.610300632,2.621536499,2.036303129,2.120743544,195573640.6
30/6/22/,2.123717773,2.215749726,2.041841006,2.140313453,150085511.3
1/7/22/,2.140891772,2.197093296,2.069012004,2.112373913,126280265.2
2/7/22/,2.111750741,2.155370919,2.076551117,2.15066257,90550271.39
3/7/22/,2.150685089,2.250141505,2.106635592,2.247214683,106533864.8
4/7/22/,2.247174972,2.247991987,2.113721958,2.159045468,108652009
5/7/22/,2.159848852,2.171736107,2.127085784,2.152812832,71096937.36
6/7/22/,2.152794766,2.198278124,2.127829624,2.191830166,74350835.62
7/7/22/,2.192304367,2.4447666,2.189091812,2.273055088,171240883.1
8/7/22/,2.274165436,2.284386303,2.226318505,2.266142342,69898870.72
9/7/22/,2.265519248,2.265690044,2.063934237,2.1152894,87484536.59
10/7/22/,2.114871656,2.114871656,1.859701422,1.88980326,101845375.2
11/7/22/,1.890463023,1.92264574,1.805112279,1.817925418,96072498.83
12/7/22/,1.818056289,1.883704495,1.571517043,1.80425393,129166948.1
13/7/22/,1.804526112,1.825283097,1.697871363,1.764534462,99864399.22
14/7/22/,1.766662513,1.867521482,1.738618968,1.806652917,113508370
15/7/22/,1.806890074,1.817352744,1.728296075,1.78867131,88326910
16/7/22/,1.788322732,1.850162275,1.750853384,1.768478883,80285040.84
17/7/22/,1.76838092,2.191991582,1.764196877,2.065517208,231941828.1
18/7/22/,2.060384638,2.116154576,1.882515512,2.002330324,154052496.6
19/7/22/,2.0021745,2.167059132,1.880208693,1.896685655,150034343.1
20/7/22/,1.897372672,1.945276021,1.814325143,1.910703041,72077452.24
21/7/22/,1.910669224,1.936993903,1.833251629,1.858262189,53816587.34
22/7/22/,1.856433379,1.92250827,1.811054807,1.85544569,55449897.69
23/7/22/,1.855598521,1.92466615,1.855598521,1.871319899,41406214.02
24/7/22/,1.870436382,1.870436382,1.664052272,1.676508734,63157337.64
25/7/22/,1.676757054,1.714506269,1.629772048,1.714506269,53965561.75
26/7/22/,1.714489982,1.823886345,1.702034675,1.811314413,62026449.48
27/7/22/,1.810992559,1.897662627,1.786561539,1.861945026,84495879.82
28/7/22/,1.861731116,2.108222481,1.844031039,1.918499611,133751552.6
29/7/22/,1.918122245,1.985976527,1.831406831,1.854858777,75797657.94
30/7/22/,1.854825255,2.097315819,1.854825255,1.887539352,132541182.5
31/7/22/,1.887383963,2.596618637,1.869214874,2.27591091,648431142.2
1/8/22/,2.276233298,2.325281999,2.104455863,2.137547877,185635018.4
2/8/22/,2.13763807,2.186954074,2.011427615,2.082424807,101332158.6
3/8/22/,2.08252773,2.230519924,2.015048667,2.08978673,88554152.16
4/8/22/,2.089319488,2.138831741,2.071469596,2.1323633,60479490.16
5/8/22/,2.132588158,2.209978852,2.094174999,2.108053034,56805915.15
6/8/22/,2.108485647,2.140586309,2.043981035,2.098071635,44547035.6
7/8/22/,2.098245934,2.168258283,2.083586091,2.104684968,50156818.94
8/8/22/,2.105475407,2.196627367,1.881491237,1.981123429,89431660.59
9/8/22/,1.980842902,2.057853971,1.915711811,2.020699376,58168100.61
10/8/22/,2.020927041,2.066330354,1.95805536,1.97161123,45789801.51
11/8/22/,1.971594683,2.086438706,1.94945509,2.045694776,51665421.37
12/8/22/,2.045211438,2.067966452,1.985437261,2.000200662,36697237.42
13/8/22/,2.00097363,2.176160733,1.989336644,2.046960686,109049991
14/8/22/,2.047090439,2.163211295,1.939579214,1.987720473,130611912.9
15/8/22/,1.987151729,2.014767186,1.937562813,1.997742453,43976274.08
16/8/22/,1.997883971,2.045157289,1.905960757,1.929462685,57339332
17/8/22/,1.929549441,1.954697861,1.600865249,1.763129056,74249171.73
18/8/22/,1.762749379,1.776210127,1.547846405,1.59619048,117893266.8
19/8/22/,1.595989184,1.675327604,1.580683076,1.622973447,49408979.99
20/8/22/,1.622207491,1.688715238,1.61847281,1.676834549,45661037.23
21/8/22/,1.676557247,1.743714253,1.60126865,1.676467763,48554698.62
22/8/22/,1.675103225,1.82689257,1.62693024,1.808626507,107059540.5
23/8/22/,1.808135064,1.808267089,1.716847979,1.717839315,49877135.49
24/8/22/,1.717685596,1.842414257,1.717142055,1.824141571,110425005.2
25/8/22/,1.823509207,1.844299537,1.593722554,1.612232018,97109240.06
26/8/22/,1.613614845,1.645289773,1.583668787,1.614157895,42957647.54
27/8/22/,1.61439193,1.630245876,1.539605356,1.539605356,33705488.19
28/8/22/,1.541637638,1.645934148,1.528271457,1.645934148,41714281.98
29/8/22/,1.645153235,1.764678487,1.584834594,1.732263484,96350468.99
30/8/22/,1.732165383,1.83980057,1.656166991,1.780298272,165122340.3
31/8/22/,1.781248537,2.189343716,1.764601554,1.99297916,575427785.1
1/9/22/,1.993329324,2.057657752,1.834871775,1.850768577,184618793.4
2/9/22/,1.850937392,1.913401348,1.795623823,1.857788164,93687630.24
3/9/22/,1.858095267,1.866397571,1.768044814,1.811820685,63066975.9
4/9/22/,1.811908124,2.004430203,1.783049829,2.002183119,198225021.9
5/9/22/,2.001813454,2.148581184,1.817996247,1.848896118,295328763.5
6/9/22/,1.847558439,1.974313392,1.781455487,1.884310141,172498727.4
7/9/22/,1.884260097,2.067120255,1.883932744,1.909577529,258116350.2
8/9/22/,1.909287121,6.905169676,1.909287121,5.136730333,5818198901
9/9/22/,5.128994956,7.055148445,4.868270278,6.418686998,3972403390
10/9/22/,6.419261258,6.917151389,5.37880722,5.736365381,1877660243
11/9/22/,5.735800169,5.814989987,3.853392462,3.985531852,1568116237
12/9/22/,3.988369907,4.641070791,3.910477795,4.376352619,1287619958
13/9/22/,4.150386409,4.491756704,2.291906565,2.994301426,1670025436
14/9/22/,2.995534037,3.110761382,2.643483053,2.720860602,554643399
15/9/22/,2.722119721,3.399156387,2.660172747,3.076843324,759995238.1
16/9/22/,3.077744881,3.229062241,2.939939732,3.090812886,502854189
17/9/22/,3.088300709,3.088300709,2.66184862,2.7425211,356283616.6
18/9/22/,2.742804332,2.990811382,2.499574854,2.902805043,537754456.7
19/9/22/,2.904522377,2.905838979,2.646217856,2.701215162,263002611.8
20/9/22/,2.700766511,2.72813799,2.460768068,2.509537817,275430576.4
21/9/22/,2.506040573,2.713342268,2.486363706,2.628196318,185447969.4
22/9/22/,2.628618399,2.883100789,2.522830653,2.624970227,263205984.4
23/9/22/,2.624324048,2.667405931,2.376682468,2.40396376,149706413.3
24/9/22/,2.403556685,2.476646583,2.14225514,2.184953166,166900558.4
25/9/22/,2.185167299,2.830105614,2.022887645,2.706822537,742350343.8
26/9/22/,2.706068931,2.746288377,2.418647599,2.488203466,314198725.2
27/9/22/,2.488662078,2.616168947,2.392318714,2.500114473,266247881.3
28/9/22/,2.500261676,2.521107032,2.421361144,2.463509162,152191446.3
29/9/22/,2.464074364,2.58342514,2.433500581,2.48415369,219738866.5
30/9/22/,2.483977332,2.542143212,2.380463487,2.48063331,146940501.1
1/10/22/,2.480575027,2.681755227,2.448660635,2.472429977,265497212.8
2/10/22/,2.472332261,2.474739802,2.410098206,2.449554311,123322967.6
3/10/22/,2.449433321,2.720252191,2.420923979,2.557674672,320767346.5
4/10/22/,2.557700882,2.63216927,2.497406716,2.550773631,177537797.7
5/10/22/,2.551180659,2.574971909,2.456750624,2.470158198,117506601
6/10/22/,2.470353688,2.552048761,2.464180379,2.505159876,105572109.2
7/10/22/,2.5055056,2.54292666,2.46459422,2.489062339,67536666.49
8/10/22/,2.488826856,2.544183927,2.483036617,2.53365769,76676942.79
9/10/22/,2.533777599,2.599986917,2.499917435,2.513314925,180757632.7
10/10/22/,2.513331277,2.513331277,2.280052076,2.420595191,236095412.8
11/10/22/,2.420912313,3.080341445,2.416128214,2.841258355,780561770.5
12/10/22/,2.841181098,2.845214752,2.488675578,2.639647872,395000372.8
13/10/22/,2.639218734,2.869411054,2.618427046,2.845952952,334771577.2
14/10/22/,2.844934953,2.888477694,2.710671556,2.726889759,307101275.2
15/10/22/,2.727248867,2.730643055,2.584702256,2.621775283,178105834.5
16/10/22/,2.621602862,2.669826377,2.591283106,2.634638932,127139790.1
17/10/22/,2.634800122,2.666409257,2.487361089,2.518945225,166789632.8
18/10/22/,2.518827541,2.531438962,2.398903568,2.442614705,158432842.7
19/10/22/,2.442701199,2.489349288,2.325001931,2.345813067,108494085.1
20/10/22/,2.3454057,2.364892916,2.227084493,2.351136319,118451346.9
21/10/22/,2.351121513,2.376121086,2.312027721,2.351452894,88913501.84
22/10/22/,2.351518881,2.517656838,2.318480253,2.451675955,184525960.1
23/10/22/,2.452028398,2.475361499,2.354828175,2.37166179,95000724.18
24/10/22/,2.371787831,2.451845742,2.369086464,2.416614526,109222804.9
25/10/22/,2.416239136,2.489050869,2.410509708,2.457130123,136603433.4
26/10/22/,2.456325338,2.55698156,2.383563505,2.407247431,183111289
27/10/22/,2.406945712,2.496824653,2.385357808,2.431640266,144258821.3
28/10/22/,2.43171441,2.528924817,2.396249089,2.429194038,154548327.2
29/10/22/,2.430539102,2.850204233,2.423423022,2.501257519,375561104.1
30/10/22/,2.501098882,2.526708304,2.415255293,2.444547737,151052066.7
31/10/22/,2.444288512,2.458916055,2.371880648,2.372167705,170397481.6
1/11/22/,2.372577267,2.410461672,2.257946233,2.306873239,134388453.1
2/11/22/,2.306966967,2.431266263,2.298328224,2.379850718,169403395.2
3/11/22/,2.37968268,2.633599362,2.361912648,2.591069607,221300636.1
4/11/22/,2.591166649,2.697161586,2.465998779,2.474654763,220233656.5
5/11/22/,2.47544062,2.532822976,2.385817346,2.385817346,123441742.9
6/11/22/,2.386045979,2.433782042,2.355921193,2.419890416,106292279.9
7/11/22/,2.419501386,2.432367139,1.593033597,1.914555014,300852837.4
8/11/22/,1.915738766,1.962516739,1.535046576,1.616181109,332233271.2
