Date,priceOpen,priceHigh,priceLow,priceClose,volume
1/1/22/,1.000898571,1.002502029,0.998228669,1.000996012,105343504
2/1/22/,1.000973433,1.00339305,0.998548529,1.002165426,139323546.9
3/1/22/,1.002371364,1.003332681,0.99905561,1.000449923,156135382.9
4/1/22/,1.000545773,1.004940782,0.997604271,0.999227021,257590385.3
5/1/22/,0.999303572,1.004321196,0.997196583,1.000115831,256685806.6
6/1/22/,0.999981373,1.006637407,0.995618485,1.000433192,357359658.3
7/1/22/,1.000448988,1.003484681,0.997324754,0.999907951,251212471.2
8/1/22/,0.999955983,1.007745889,0.995101523,0.996849545,195938018.1
9/1/22/,0.996870585,1.00471312,0.995467967,0.99701541,269082498.8
10/1/22/,0.997029982,1.002232553,0.996144435,0.998270057,213726288.9
11/1/22/,0.998281322,1.001974339,0.994436635,0.998282137,225667923.9
12/1/22/,0.998220034,1.003550152,0.996483017,1.000202444,221139757.2
13/1/22/,1.000221213,1.008740333,0.996319875,0.996769869,196068559.8
14/1/22/,0.996784695,1.002276282,0.996710745,0.999215096,160494615.5
15/1/22/,0.99930445,1.005347618,0.996796505,0.999996097,135328632.5
16/1/22/,1.000060839,1.004112326,0.99629672,1.000697709,199173906.7
17/1/22/,1.000641723,1.005113894,0.997478292,0.998343888,299162664.1
18/1/22/,0.998387519,1.005805025,0.993928429,1.002814813,278599495.5
19/1/22/,1.002954584,1.005593488,0.997510818,1.004228214,200831237.7
20/1/22/,1.004406796,1.007800227,0.994714767,0.999725852,717088469.2
21/1/22/,0.999744518,1.003857607,0.994867969,0.998127644,827568324.3
22/1/22/,0.998355563,1.003057764,0.996052884,1.000040139,340918782.1
23/1/22/,1.000006793,1.005470901,0.995826126,1.000426482,703344270.9
24/1/22/,1.000508117,1.003857923,0.994896062,1.000369579,401486401.7
25/1/22/,1.000135483,1.004715521,0.99484693,1.000325654,486089747.1
26/1/22/,1.00023338,1.00614732,0.995440558,0.996485973,879464065.6
27/1/22/,0.996734451,0.999967419,0.988503065,0.995149145,2709127514
28/1/22/,0.995055705,1.001706619,0.995037358,1.000394655,728528587.3
29/1/22/,1.000507148,1.003631573,0.99636336,0.999787446,298851398.3
30/1/22/,0.999862958,1.001065269,0.995006321,0.998030909,333050048.9
31/1/22/,0.99792321,1.004267752,0.995639397,1.002536512,287335185.7
1/2/22/,1.002495817,1.003412996,0.99522521,1.000936044,220522061.8
2/2/22/,1.000913965,1.003097453,0.99530588,0.999244032,288814118.4
3/2/22/,0.998971463,1.002024348,0.996872313,1.001236336,360633692.8
4/2/22/,1.001272809,1.00486869,0.998260577,1.001779934,246715758.7
5/2/22/,1.001805938,1.00350284,0.99817146,1.002239988,167274345.5
6/2/22/,1.002208791,1.003337362,0.997567105,1.001400238,361508928.3
7/2/22/,1.001509005,1.003562611,0.997428766,1.000026592,309046889.5
8/2/22/,0.99989413,1.003763676,0.997518577,0.999933776,224315813.7
9/2/22/,0.999946444,1.004172228,0.997313226,1.002002784,320751876.6
10/2/22/,1.002050863,1.006082421,0.997355245,1.002131564,323978340.9
11/2/22/,1.002208753,1.004268153,0.999689802,1.002755509,243428856.1
12/2/22/,1.002674976,1.005857312,0.997488792,1.001695557,221814980.8
13/2/22/,1.001933698,1.00435379,0.99529329,1.001652104,309047532.3
14/2/22/,1.001629392,1.003538696,0.997322848,0.999682844,406108093.2
15/2/22/,0.999872036,1.00339844,0.997303877,0.999309891,360210747.3
16/2/22/,0.999068065,1.003580671,0.997537138,1.001178856,350189041.3
17/2/22/,1.001369995,1.006057691,0.999323402,1.004164656,397256617.3
18/2/22/,1.004248865,1.005071932,0.998864041,1.003730534,273702124.6
19/2/22/,1.003659504,1.007921417,0.998815812,1.000368623,323113696.8
20/2/22/,1.000238447,1.010023143,0.998766871,1.002005498,446456030.9
21/2/22/,1.002064275,1.007575472,0.998386897,1.004710399,417702652
22/2/22/,1.004758458,1.007554538,0.999273685,1.004346963,504447657.6
23/2/22/,1.004485199,1.012749834,0.99101383,1.000794316,815186444.7
24/2/22/,1.000566696,1.01503418,1.000046256,1.00346839,589360458.5
25/2/22/,1.003473624,1.005915237,0.999697606,1.003759535,487883181.2
26/2/22/,1.003708384,1.005577423,0.996761705,1.003913912,347270034.5
27/2/22/,1.003929403,1.006510524,0.99981368,1.003341999,626887848.7
28/2/22/,1.003379871,1.005457329,0.999427168,1.00286974,673678439.9
1/3/22/,1.002879497,1.005844795,0.99905534,1.003392933,639513825.1
2/3/22/,1.003424369,1.008417885,0.998816476,1.004904095,698973210.8
3/3/22/,1.005181503,1.009848755,0.998282521,1.006176447,663641731
4/3/22/,1.006151451,1.00813458,1.001327246,1.006557418,495548043
5/3/22/,1.006591168,1.00914363,0.999132192,1.003802944,415314313.3
6/3/22/,1.003703936,1.01311451,0.991628806,0.998506552,569446274.2
7/3/22/,0.998411431,1.0096271,0.975391674,1.003607146,537500440.7
8/3/22/,1.003683701,1.007227513,0.99959618,1.005189886,843844881
9/3/22/,1.005169873,1.007153616,0.998890818,1.005015558,655263726.9
10/3/22/,1.005086476,1.00750681,1.000769377,1.003983836,505556920.2
11/3/22/,1.004101271,1.006609839,1.002398082,1.002927955,350360633.7
12/3/22/,1.002913065,1.003825165,1.002340652,1.002940746,395456371.3
13/3/22/,1.002976804,1.005065866,1.001912779,1.004018596,459954662.4
14/3/22/,1.003894575,1.00400852,1.002075297,1.003192742,626360709.9
15/3/22/,1.003000293,1.005530852,1.000630341,1.003447203,660889303.3
16/3/22/,1.003408391,1.005536298,1.001377407,1.003742284,467567794.1
17/3/22/,1.003812645,1.005986615,0.999485281,1.003228129,496104164.3
18/3/22/,1.003165689,1.006058013,1.00149938,1.003936828,373394667
19/3/22/,1.003912637,1.005489176,1.00055851,1.003757301,330755661.2
20/3/22/,1.003807151,1.005519796,0.997739546,1.001253639,519038342.3
21/3/22/,1.001153426,1.004321351,1.000259154,1.00185528,512747682.4
22/3/22/,1.001868145,1.004269947,0.999416089,1.000928555,465299561.3
23/3/22/,1.000833629,1.006498173,0.998927539,0.999876752,572380256.1
24/3/22/,0.999900444,1.003524457,0.998879951,1.001858009,511050758.1
25/3/22/,1.002088216,1.00248949,0.998865482,1.000241962,246370040.8
26/3/22/,1.00020772,1.003386922,0.998487977,0.999330466,361288465.3
27/3/22/,0.999455458,1.002567826,0.997431111,0.999021269,673564160.2
28/3/22/,0.998924725,1.001774359,0.997838502,1.000230299,613330179.5
29/3/22/,1.000224177,1.003071141,0.998383597,1.001700458,417047341.8
30/3/22/,1.001721107,1.002332716,0.998616988,1.001254536,563578452.2
31/3/22/,1.00138453,1.002564435,0.998939426,1.002014692,488655865.7
1/4/22/,1.002037632,1.002805732,0.998584843,1.000088491,498511220.2
2/4/22/,1.000121802,1.003080304,0.999044086,0.999954816,325606707.7
3/4/22/,0.999886178,1.002747386,0.996266074,1.000500824,589731894
4/4/22/,1.000506833,1.002678878,0.997621489,0.998398637,562424018.2
5/4/22/,0.99836272,1.003067542,0.997696312,1.000310846,744433415.2
6/4/22/,1.000244851,1.002220028,0.998018979,1.000121744,445409899.8
7/4/22/,1.000179812,1.000803276,0.999453346,1.000191049,636053051.6
8/4/22/,1.000104657,1.001113449,0.999729619,1.000305934,436070423.2
9/4/22/,1.000594545,1.001525276,0.999822429,1.000137545,363203923.9
10/4/22/,1.000417762,1.001295718,0.999551454,1.000339329,897998116.7
11/4/22/,1.000388972,1.001214634,0.999646118,1.000474201,642464357.8
12/4/22/,1.000522267,1.001845495,0.99997441,1.000889161,448059621.4
13/4/22/,1.000600032,1.001851693,0.999712519,1.000942953,478484325.4
14/4/22/,1.000961508,1.002317769,1.000507154,1.001585748,311283166.2
15/4/22/,1.001716607,1.003049585,1.001018501,1.002427706,204733777.5
16/4/22/,1.002384158,1.002853357,1.00103556,1.001397516,234591988.6
17/4/22/,1.001565943,1.003012547,1.000873969,1.002457876,607009918.5
18/4/22/,1.002452233,1.003224893,1.001201843,1.00205816,483251710.8
19/4/22/,1.002031783,1.003692489,1.001372369,1.003199858,518858156.4
20/4/22/,1.003160902,1.003707746,1.001301241,1.002193818,618505118.4
21/4/22/,1.002078187,1.00372106,0.999544234,1.001152307,567613598.2
22/4/22/,1.001087178,1.003627192,0.999495335,1.002128208,325842114.6
23/4/22/,1.002651529,1.003690391,0.999276874,1.001372047,287766061.7
24/4/22/,1.001170587,1.003216423,0.998227081,1.00168303,707655893.4
25/4/22/,1.002278547,1.00304959,0.998181834,1.000510318,669584311.7
26/4/22/,1.001464005,1.003002822,0.99836109,1.002086911,628471362.3
27/4/22/,1.000550253,1.002594338,0.998347509,1.001750888,521840224.6
28/4/22/,1.001724598,1.002769446,0.997555038,1.000974203,560980549.5
29/4/22/,1.001072989,1.002844668,0.997893019,0.999566739,547686207.2
30/4/22/,0.999779418,1.002558591,0.997578844,1.001649225,566644084.6
1/5/22/,1.001566398,1.002737341,0.998046977,1.001399962,574239250.7
2/5/22/,0.998947222,1.002383468,0.998085956,1.00024425,453049346.2
3/5/22/,1.000025288,1.002482225,0.996593723,0.999365459,612280606.5
4/5/22/,1.000740524,1.00332739,0.997856603,0.999546277,733858936.5
5/5/22/,0.999828207,1.002500267,0.998088392,0.999623963,649583067.2
6/5/22/,0.999887143,1.00246133,0.992731644,0.996868192,1335178681
7/5/22/,0.996907266,0.99965119,0.990502578,0.996400551,2025913193
8/5/22/,0.995426912,0.999014246,0.793392822,0.793392822,2809970941
9/5/22/,0.805947774,0.948554057,0.684081092,0.79991879,4905955011
10/5/22/,0.799372072,0.847420469,0.299837695,0.801137173,7679819164
11/5/22/,0.801058068,0.829402779,0.362599274,0.408584062,9392162783
12/5/22/,0.405538849,0.406917256,0.133137345,0.154001605,1285921756
13/5/22/,0.16185721,0.255240158,0.14826798,0.196442257,376460753.5
14/5/22/,0.195969957,0.261273591,0.17034833,0.176657117,335182961.8
15/5/22/,0.176644651,0.186560304,0.094398484,0.126434117,389081589.1
16/5/22/,0.126538844,0.156225309,0.10777254,0.130308539,264405278.3
17/5/22/,0.130310538,0.314155476,0.087841601,0.090960734,173247622.4
18/5/22/,0.090991963,0.115120438,0.076013264,0.076013264,102877376.6
19/5/22/,0.076062716,0.091723255,0.06130481,0.06626519,59116608.94
20/5/22/,0.066213812,0.066213812,0.05086389,0.056482338,45170671.07
21/5/22/,0.057527891,0.073459819,0.051067085,0.064289878,78643834.72
22/5/22/,0.064276794,0.082409409,0.054462397,0.071370365,90652769.19
23/5/22/,0.071222301,0.092502106,0.061708528,0.070003188,59529498.26
24/5/22/,0.069607539,0.322059777,0.067549768,0.094630957,174553602.3
25/5/22/,0.09473187,0.534733326,0.048005056,0.063918584,117938242.9
26/5/22/,0.063992475,0.06400478,0.032765312,0.034802328,27457467.57
27/5/22/,0.040064913,0.04073437,0.018463411,0.028785721,21456925.2
28/5/22/,0.028661357,0.031145046,0.023304067,0.026768035,14038645.96
29/5/22/,0.026766207,0.033007685,0.025013394,0.025112987,32885587.67
30/5/22/,0.025050254,0.026282417,0.020853634,0.021438776,28291419.88
31/5/22/,0.021444883,0.021768134,0.015049541,0.016058579,23515716.24
1/6/22/,0.016053211,0.020449312,0.014540897,0.019940004,24514329.09
2/6/22/,0.019758106,0.021324485,0.017184097,0.019334867,26362402.38
3/6/22/,0.019335702,0.019737191,0.017667866,0.018234236,11307782.69
4/6/22/,0.018234551,0.018375331,0.015678971,0.015896233,12834486.01
5/6/22/,0.01589449,0.017265724,0.015651707,0.015800917,10907243.26
6/6/22/,0.015778691,0.016147514,0.013346199,0.013430693,10815115.02
7/6/22/,0.013420905,0.013420905,0.009796413,0.009796413,11499708.95
8/6/22/,0.009792292,0.011992405,0.009257208,0.011465779,24601318.66
9/6/22/,0.011467106,0.011577719,0.009606183,0.009698914,24815206.71
10/6/22/,0.00970251,0.009972665,0.00863176,0.008720448,14758869.93
11/6/22/,0.008719922,0.010959986,0.008088033,0.009822103,25632151.3
12/6/22/,0.009819277,0.009819277,0.008210045,0.008378397,22534520.22
13/6/22/,0.008380624,0.008723212,0.007861918,0.008098876,9245974.01
14/6/22/,0.008106983,0.008156981,0.006925454,0.007788821,11469426.07
15/6/22/,0.00779135,0.008138559,0.006918007,0.00692871,12317780.7
16/6/22/,0.006927923,0.007563537,0.006910785,0.007289356,14091598.27
17/6/22/,0.007290044,0.007363323,0.006217587,0.006540143,13425949.76
18/6/22/,0.006539893,0.008754796,0.006329778,0.008107065,18618341.77
19/6/22/,0.008111166,0.009130438,0.007726616,0.008226897,15948069.92
20/6/22/,0.008230701,0.008829041,0.008209468,0.008307311,12842078.93
21/6/22/,0.008308324,0.008335251,0.007895465,0.00815105,8940943.67
22/6/22/,0.00814895,0.008571659,0.008142821,0.008525884,9468493.68
23/6/22/,0.008528363,0.016820298,0.008495503,0.013826176,15871852.73
24/6/22/,0.013898276,0.015570094,0.009190675,0.009737896,13018569.71
25/6/22/,0.009740894,0.023627909,0.009740894,0.023180738,32407771.57
26/6/22/,0.023190131,0.043134886,0.014225057,0.020434509,87334520.2
27/6/22/,0.020436006,0.05896533,0.017523269,0.042160915,175155205.2
28/6/22/,0.042320415,0.089661134,0.039860034,0.08109927,438090914.3
29/6/22/,0.08097722,0.08121624,0.044147321,0.046814303,199019653
30/6/22/,0.046806276,0.06962165,0.0413621,0.063526921,174358602.7
1/7/22/,0.063626633,0.064949393,0.053923409,0.056614173,166359782.5
2/7/22/,0.056608581,0.065745913,0.055142001,0.065604981,80395876.7
3/7/22/,0.065621658,0.068253846,0.062850386,0.064530888,76004322.79
4/7/22/,0.064494092,0.064494092,0.055204798,0.057076644,58561680.93
5/7/22/,0.057072737,0.058767263,0.048493641,0.051600074,52320572.91
6/7/22/,0.051576091,0.05651881,0.048916729,0.052616895,50033973.23
7/7/22/,0.052613683,0.052852893,0.049676153,0.05003243,25877081.42
8/7/22/,0.050015389,0.05002758,0.047808899,0.048751609,22999509.99
9/7/22/,0.048734363,0.053830998,0.048661431,0.051181087,40048584.5
10/7/22/,0.05119167,0.051639763,0.047659306,0.047703186,18182507.18
11/7/22/,0.047713116,0.047816474,0.041835256,0.04186017,25634726.75
12/7/22/,0.041881456,0.042999032,0.037610544,0.03959003,25536645.35
13/7/22/,0.039594468,0.039629357,0.034210562,0.03578969,21846056.19
14/7/22/,0.035783688,0.052515926,0.034708573,0.050096156,71663430.28
15/7/22/,0.050115107,0.05110317,0.043236097,0.043343548,40074061.59
16/7/22/,0.043351577,0.044976064,0.042619709,0.043255015,20423231.3
17/7/22/,0.043251577,0.046875117,0.042440404,0.044877586,25054365.31
